Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
41594,PF,Aaron,Gordon,16.1,29,3500,NO@ORL,ORL,NO,,
9534,PG,Aaron,Brooks,13.7,20,3500,TOR@CHI,CHI,TOR,,
42664,PG,Aaron,Harrison,2.6,5,3500,LAL@CHA,CHA,LAL,,
15864,PF,Adreian,Payne,6.5,22,3500,MIN@SA,MIN,SA,,
9453,C,Al,Horford,31,32,6900,ATL@IND,ATL,IND,,
9609,C,Al,Jefferson,26.1,18,6200,LAL@CHA,CHA,LAL,,
21665,SG,Alan,Anderson,0,24,3500,LAC@WAS,WAS,LAC,O,Ankle
14510,SG,Alec,Burks,21.4,28,4800,PHI@UTA,UTA,PHI,O,Ankle
15814,C,Alex,Len,17,32,4800,CLE@PHO,PHO,CLE,,
9804,C,Alexis,Ajinca,11.1,21,3500,NO@ORL,NO,ORL,,
11104,SF,Alonzo,Gee,10.4,30,3500,NO@ORL,NO,ORL,,
9680,PF,Amar'e,Stoudemire,7.5,4,3500,BKN@MIA,MIA,BKN,,
9490,C,Anderson,Varejao,6.3,23,3500,CLE@PHO,CLE,PHO,,
9664,SF,Andre,Iguodala,20.7,29,4600,SAC@GS,GS,SAC,,
9682,PG,Andre,Miller,9.5,15,3500,MIN@SA,MIN,SA,,
9720,C,Andrea,Bargnani,11.3,26,3900,BKN@MIA,BKN,MIA,,
49116,SF,Andrew,Wiggins,27.8,29,6600,MIN@SA,MIN,SA,,
9601,C,Andrew,Bogut,20.6,22,4300,SAC@GS,GS,SAC,,
17218,PF,Andrew,Nicholson,13.5,21,3500,NO@ORL,ORL,NO,,
15755,PF,Anthony,Davis,44.9,27,10400,NO@ORL,NO,ORL,,
23920,PF,Anthony,Bennett,4.1,10,3500,TOR@CHI,TOR,CHI,,
16188,SF,Anthony,Brown,4.5,8,3500,LAL@CHA,LAL,CHA,,
23824,PG,Archie,Goodwin,8.9,15,3500,CLE@PHO,PHO,CLE,,
15592,PG,Austin,Rivers,12.1,28,3500,LAC@WAS,LAC,WAS,GTD,Ankle
15727,SG,Ben,McLemore,12.8,30,3600,SAC@GS,SAC,GS,,
9693,PG,Beno,Udrih,9.2,23,3600,BKN@MIA,MIA,BKN,,
14505,C,Bismack,Biyombo,19.2,31,4900,TOR@CHI,TOR,CHI,,
9560,PF,Blake,Griffin,41.3,30,9000,LAC@WAS,LAC,WAS,O,Quadriceps
63826,C,Boban,Marjanovic,7.9,16,3700,MIN@SA,SA,MIN,,
42156,PF,Bobby,Portis,12.5,8,3600,TOR@CHI,CHI,TOR,,
14530,SF,Bojan,Bogdanovic,15,30,3800,BKN@MIA,BKN,MIA,,
9471,PF,Boris,Diaw,13.8,32,3700,MIN@SA,SA,MIN,,
15595,SG,Brad,Beal,30.2,17,7200,LAC@WAS,WAS,LAC,O,Leg
14506,PG,Brandon,Knight,32.7,32,7000,CLE@PHO,PHO,CLE,,
9659,PF,Brandon,Bass,12.8,26,3700,LAL@CHA,LAL,CHA,,
9549,SG,Brandon,Rush,9.8,21,3600,SAC@GS,GS,SAC,,
23757,PG,Brian,Roberts,4.9,13,3500,LAL@CHA,CHA,LAL,,
9621,C,Brook,Lopez,34.3,30,8100,BKN@MIA,BKN,MIA,,
55058,SF,Bruno,Caboclo,0,1,3500,TOR@CHI,TOR,CHI,,
16100,PG,Bryce,Cotton,0,13,3500,CLE@PHO,PHO,CLE,,
9725,SF,C.J.,Miles,21.4,26,4600,ATL@IND,IND,ATL,,
9525,PG,C.J.,Watson,13.1,8,3600,NO@ORL,ORL,NO,O,Calf
17520,PF,Cameron,Bairstow,2.6,5,3500,TOR@CHI,CHI,TOR,,
9539,PF,Carl,Landry,23.1,2,3500,PHI@UTA,PHI,UTA,,
9736,SF,Caron,Butler,5.5,9,3500,SAC@GS,SAC,GS,,
14537,SF,Chandler,Parsons,16.2,23,4500,MIL@DAL,DAL,MIL,,
9678,PF,Channing,Frye,12.5,25,3700,NO@ORL,ORL,NO,,
9520,PF,Charlie,Villanueva,10.8,27,3500,MIL@DAL,DAL,MIL,,
9942,SF,Chase,Budinger,9.9,29,3600,ATL@IND,IND,ATL,,
9623,PG,Chris,Paul,36.7,26,9000,LAC@WAS,LAC,WAS,,
9718,PF,Chris,Bosh,33.3,29,7400,BKN@MIA,MIA,BKN,,
17462,SG,Chris,Johnson,3,19,3500,PHI@UTA,UTA,PHI,,
9513,C,Chris,Andersen,3.8,3,3500,BKN@MIA,MIA,BKN,,
23220,SF,Chris,Copeland,3.5,18,3500,MIL@DAL,MIL,DAL,,
42202,PF,Christian,Wood,8,14,3500,PHI@UTA,PHI,UTA,,
15691,PF,Cody,Zeller,18,27,4300,LAL@CHA,CHA,LAL,,
12354,C,Cole,Aldrich,6.3,9,3600,LAC@WAS,LAC,WAS,,
14529,PG,Cory,Joseph,17.7,31,4200,TOR@CHI,TOR,CHI,,
15475,PF,Cory,Jefferson,3.4,5,3500,CLE@PHO,PHO,CLE,,
63478,C,Cristiano,Felicio,1.8,2,3500,TOR@CHI,CHI,TOR,,
58312,PG,D'Angelo,Russell,22.2,31,5300,LAL@CHA,LAL,CHA,,
55061,SF,Damien,Inglis,2.9,7,3500,MIL@DAL,MIL,DAL,,
55376,SF,Damjan,Rudez,3.4,14,3500,MIN@SA,MIN,SA,,
9758,SG,Danny,Green,15.8,32,3500,MIN@SA,SA,MIN,,
9940,PF,Dante,Cunningham,10.1,30,3500,NO@ORL,NO,ORL,,
9624,PG,Darren,Collison,22.1,25,5200,SAC@GS,SAC,GS,,
9629,PF,David,West,14.1,32,3900,MIN@SA,SA,MIN,,
9561,C,DeAndre,Jordan,33,31,7600,LAC@WAS,LAC,WAS,,
9952,C,DeJuan,Blair,5.7,17,3500,LAC@WAS,WAS,LAC,,
40830,PG,Delon,Wright,1.3,5,3500,TOR@CHI,TOR,CHI,,
9714,SG,DeMar,DeRozan,34.2,31,8000,TOR@CHI,TOR,CHI,,
12362,C,DeMarcus,Cousins,43.8,22,9900,SAC@GS,SAC,GS,,
9787,SF,DeMarre,Carroll,22.4,19,5600,TOR@CHI,TOR,CHI,,
40201,PG,Dennis,Schroder,21,32,4800,ATL@IND,ATL,IND,,
9722,PG,Deron,Williams,27.8,26,6500,MIL@DAL,DAL,MIL,GTD,Hamstring
12351,PF,Derrick,Favors,33.3,26,7700,PHI@UTA,UTA,PHI,GTD,Back
9475,PG,Derrick,Rose,25.2,26,6400,TOR@CHI,CHI,TOR,,
9613,SG,Devin,Harris,15,25,3600,MIL@DAL,DAL,MIL,,
58460,SG,Devin,Booker,9,26,3600,CLE@PHO,PHO,CLE,,
16301,C,Dewayne,Dedmon,11.8,17,3500,NO@ORL,ORL,NO,,
9500,PF,Dirk,Nowitzki,30.2,29,6900,MIL@DAL,DAL,MIL,,
12832,PG,Donald,Sloan,7.8,12,3500,BKN@MIA,BKN,MIA,,
18256,SF,Doug,McDermott,12.3,28,3500,TOR@CHI,CHI,TOR,,
15860,PF,Draymond,Green,38.6,29,9200,SAC@GS,GS,SAC,,
9503,PF,Drew,Gooden,10.7,6,3500,LAC@WAS,WAS,LAC,O,Calf
16443,PF,Duje,Dukan,0,25,3500,SAC@GS,SAC,GS,,
16196,PF,Dwight,Powell,17.6,29,3700,MIL@DAL,DAL,MIL,,
9585,SG,Dwyane,Wade,30.7,28,7300,BKN@MIA,MIA,BKN,,
14554,PG,E'Twaun,Moore,8.5,22,3500,TOR@CHI,CHI,TOR,,
19138,PG,Elfrid,Payton,27.4,30,6500,NO@ORL,ORL,NO,,
12828,SF,Elijah,Millsap,5.6,17,3500,PHI@UTA,UTA,PHI,,
12355,SG,Eric,Bledsoe,36.2,31,7600,CLE@PHO,PHO,CLE,O,Knee
9556,SG,Eric,Gordon,23.8,30,5300,NO@ORL,NO,ORL,,
16063,PF,Eric,Moreland,3.8,5,3500,SAC@GS,SAC,GS,O,Foot
23096,SG,Evan,Fournier,23.2,30,5200,NO@ORL,ORL,NO,,
16331,C,Festus,Ezeli,20.5,29,4800,SAC@GS,GS,SAC,,
16448,PF,Frank,Kaminsky,13.8,28,4000,LAL@CHA,CHA,LAL,,
11074,PG,Garrett,Temple,13.6,26,4300,LAC@WAS,WAS,LAC,,
12445,SG,Gary,Neal,15,24,3800,LAC@WAS,WAS,LAC,GTD,Quadriceps
9703,PG,George,Hill,23.5,26,5400,ATL@IND,IND,ATL,,
9849,SG,Gerald,Green,16.6,23,4100,BKN@MIA,MIA,BKN,,
40199,SG,Giannis,Antetokounmpo,29.1,29,6800,MIL@DAL,MIL,DAL,,
23800,SF,Glenn,Robinson III,6.9,18,3500,ATL@IND,IND,ATL,,
9673,PG,Goran,Dragic,23.6,28,6000,BKN@MIA,MIA,BKN,,
12366,SF,Gordon,Hayward,29.6,28,7400,PHI@UTA,UTA,PHI,,
15771,C,Gorgui,Dieng,20.7,30,5100,MIN@SA,MIN,SA,,
12337,C,Greg,Monroe,33.6,29,7600,MIL@DAL,MIL,DAL,,
12344,PG,Greivis,Vasquez,15.6,16,3600,MIL@DAL,MIL,DAL,O,Ankle
15946,SF,Harrison,Barnes,23.5,17,5200,SAC@GS,GS,SAC,O,Ankle
12363,C,Hassan,Whiteside,33.1,29,7500,BKN@MIA,MIA,BKN,GTD,Illness
15631,SF,Hollis,Thompson,15.4,32,3600,PHI@UTA,PHI,UTA,,
