CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201586,Serge Ibaka,1610612760,OKC,F,26.0,19,19,1.0,7.32,16.79,0.436,0.441,-0.006
203110,Draymond Green,1610612744,GSW,F,25.0,20,20,1.0,6.5,16.55,0.393,0.458,-0.065
203076,Anthony Davis,1610612740,NOP,F-C,22.0,17,17,1.0,6.29,15.88,0.396,0.451,-0.055
202326,DeMarcus Cousins,1610612758,SAC,F-C,25.0,12,12,1.0,6.17,15.25,0.404,0.457,-0.052
201572,Brook Lopez,1610612751,BKN,C,27.0,19,19,1.0,6.89,15.0,0.46,0.462,-0.002
101162,Marcin Gortat,1610612764,WAS,C,31.0,16,16,1.0,6.44,14.81,0.435,0.463,-0.029
202355,Hassan Whiteside,1610612748,MIA,C,26.0,18,18,1.0,6.22,14.56,0.427,0.475,-0.047
1626143,Jahlil Okafor,1610612755,PHI,C,19.0,19,19,1.0,6.42,14.42,0.445,0.472,-0.026
202324,Derrick Favors,1610612762,UTA,F-C,24.0,17,17,1.0,5.82,14.41,0.404,0.466,-0.062
203086,Meyers Leonard,1610612757,POR,F-C,23.0,14,14,1.0,5.57,14.29,0.39,0.446,-0.056
201567,Kevin Love,1610612739,CLE,F,27.0,19,19,1.0,7.79,14.21,0.548,0.443,0.105
201599,DeAndre Jordan,1610612746,LAC,C,27.0,20,20,1.0,6.45,14.0,0.461,0.467,-0.006
2730,Dwight Howard,1610612745,HOU,C,29.0,15,15,1.0,6.8,14.0,0.486,0.451,0.034
2200,Pau Gasol,1610612741,CHI,C-F,35.0,17,17,1.0,6.0,13.76,0.436,0.47,-0.035
201935,James Harden,1610612745,HOU,G,26.0,21,21,1.0,6.52,13.67,0.477,0.442,0.035
203083,Andre Drummond,1610612765,DET,C,22.0,20,20,1.0,6.45,13.55,0.476,0.483,-0.007
204001,Kristaps Porzingis,1610612752,NYK,F-C,20.0,21,21,1.0,5.67,13.38,0.423,0.457,-0.033
202710,Jimmy Butler,1610612741,CHI,G-F,26.0,17,17,1.0,5.88,13.29,0.442,0.448,-0.006
202339,Eric Bledsoe,1610612756,PHX,G,25.0,19,19,1.0,5.53,13.21,0.418,0.426,-0.008
