TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,CFID,CFPARAMS
1610612737,Atlanta Hawks,29,17,12,0.586,10.7,8.2,18.7,0.44,2.0,5.3,0.38,3.4,4.3,0.805,2.4,7.6,10.0,5.0,3.8,1.8,1.0,1.2,4.2,4.0,21.9,-0.4,10,Atlanta Hawks
1610612738,Boston Celtics,27,14,13,0.519,12.5,9.6,21.8,0.439,2.0,5.8,0.339,4.9,6.5,0.756,2.9,9.2,12.1,5.4,4.5,2.2,1.5,1.1,5.2,5.6,26.1,-0.5,10,Boston Celtics
1610612751,Brooklyn Nets,27,7,20,0.259,9.7,7.8,16.9,0.461,1.9,5.3,0.361,3.2,4.2,0.75,1.9,7.0,8.9,4.8,2.9,1.8,1.1,0.9,3.7,3.7,20.7,1.3,10,Brooklyn Nets
1610612766,Charlotte Hornets,26,15,11,0.577,14.3,11.1,25.2,0.44,2.5,7.2,0.343,4.6,6.1,0.76,2.5,10.6,13.1,7.0,4.1,2.0,1.3,1.7,6.1,5.4,29.3,-1.0,10,Charlotte Hornets
1610612741,Chicago Bulls,25,15,10,0.6,10.3,8.0,19.3,0.416,1.6,4.8,0.327,3.2,4.6,0.704,2.5,7.5,10.0,4.6,2.5,1.6,1.2,1.3,4.1,3.9,20.8,-0.2,10,Chicago Bulls
1610612739,Cleveland Cavaliers,25,18,7,0.72,9.0,6.6,15.3,0.433,1.3,4.0,0.331,3.2,4.3,0.743,1.7,5.8,7.5,3.7,2.6,1.4,0.8,0.7,3.9,3.8,17.7,-1.1,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,27,15,12,0.556,10.1,7.8,18.0,0.435,1.7,5.4,0.315,3.4,4.5,0.749,2.1,7.3,9.4,4.3,3.2,1.6,0.9,0.7,4.8,4.1,20.7,-0.1,10,Dallas Mavericks
1610612743,Denver Nuggets,27,11,16,0.407,7.2,5.6,12.4,0.45,1.3,3.4,0.388,2.5,3.2,0.779,1.4,4.9,6.3,3.4,2.1,1.3,0.9,0.7,3.1,2.9,15.0,0.5,10,Denver Nuggets
1610612765,Detroit Pistons,28,16,12,0.571,9.8,7.6,16.8,0.453,1.4,4.1,0.342,3.3,4.3,0.759,2.0,7.0,8.9,4.2,3.2,1.4,0.9,0.7,4.5,3.9,19.9,-0.4,10,Detroit Pistons
1610612744,Golden State Warriors,27,26,1,0.963,9.1,7.3,16.8,0.435,1.3,3.8,0.342,3.3,4.3,0.764,2.1,5.9,8.0,4.3,2.7,1.7,0.8,1.2,3.9,4.0,19.2,-1.7,10,Golden State Warriors
1610612745,Houston Rockets,28,14,14,0.5,9.9,8.0,17.4,0.457,1.6,5.1,0.319,3.2,4.2,0.745,2.3,6.7,9.0,4.8,3.4,2.0,1.2,1.1,4.7,4.3,20.7,-0.6,10,Houston Rockets
1610612754,Indiana Pacers,26,16,10,0.615,13.8,10.2,24.0,0.426,2.3,6.9,0.33,4.6,6.2,0.733,3.1,9.6,12.7,5.5,4.6,2.2,1.3,1.1,6.0,5.4,27.3,-1.7,10,Indiana Pacers
1610612746,Los Angeles Clippers,28,16,12,0.571,6.7,5.1,11.7,0.438,1.1,3.1,0.344,2.7,3.7,0.741,1.5,4.7,6.2,2.9,2.1,1.1,0.4,0.8,3.7,3.0,14.1,-0.6,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,27,4,23,0.148,7.1,5.9,12.9,0.459,1.4,3.7,0.377,2.7,3.7,0.726,1.8,5.2,7.0,3.6,1.8,1.1,0.7,0.7,2.7,3.0,16.0,1.6,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,29,15,14,0.517,7.0,5.2,11.5,0.453,1.4,4.0,0.349,2.6,3.4,0.783,1.4,5.0,6.3,3.2,2.4,1.1,0.8,0.6,3.1,2.9,14.4,0.3,10,Memphis Grizzlies
