TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,CFID,CFPARAMS
1610612737,Atlanta Hawks,26,14,12,0.538,29.9,23.5,53.2,0.441,5.6,15.2,0.368,9.9,12.0,0.82,7.1,21.5,28.6,14.2,10.3,5.3,3.1,3.4,11.7,11.1,62.4,0.2,10,Atlanta Hawks
1610612738,Boston Celtics,25,14,11,0.56,32.2,24.1,55.6,0.433,4.8,14.7,0.326,12.1,15.9,0.758,7.4,23.3,30.7,13.7,12.2,5.4,3.7,3.2,13.1,14.1,65.0,-2.6,10,Boston Celtics
1610612751,Brooklyn Nets,24,7,17,0.292,27.3,22.1,47.6,0.464,5.6,15.3,0.368,8.7,11.7,0.742,5.3,18.9,24.2,13.7,8.8,5.4,3.1,2.3,10.0,10.4,58.5,3.9,10,Brooklyn Nets
1610612766,Charlotte Hornets,23,14,9,0.609,23.8,18.7,42.1,0.443,4.3,12.4,0.346,7.3,9.5,0.765,4.2,17.9,22.0,11.7,7.0,3.3,2.4,2.8,9.8,8.6,48.9,-1.9,10,Charlotte Hornets
1610612741,Chicago Bulls,22,14,8,0.636,31.5,24.5,59.4,0.412,4.7,14.4,0.324,9.8,13.7,0.715,8.1,23.6,31.7,13.6,8.2,4.8,3.7,4.0,12.0,11.9,63.4,-1.4,10,Chicago Bulls
1610612739,Cleveland Cavaliers,23,16,7,0.696,32.1,23.4,54.0,0.434,4.8,14.5,0.331,11.2,15.1,0.742,5.8,21.0,26.8,13.3,8.9,4.9,3.2,2.6,14.5,13.7,62.9,-4.0,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,25,14,11,0.56,22.4,17.4,39.4,0.441,4.2,12.4,0.337,7.5,10.3,0.734,4.5,16.4,21.0,9.7,6.8,3.5,2.1,1.7,10.5,8.9,46.4,-0.4,10,Dallas Mavericks
1610612743,Denver Nuggets,25,11,14,0.44,26.8,21.0,46.2,0.454,5.0,13.3,0.374,10.0,13.2,0.755,5.5,18.6,24.1,12.8,8.2,4.7,3.7,2.8,11.9,11.4,56.9,2.6,10,Denver Nuggets
1610612765,Detroit Pistons,26,14,12,0.538,24.3,18.9,41.2,0.457,3.7,10.3,0.354,7.8,10.4,0.752,4.7,17.4,22.2,10.5,7.8,3.6,2.3,1.6,10.5,9.5,49.2,0.8,10,Detroit Pistons
1610612744,Golden State Warriors,25,24,1,0.96,21.4,16.9,39.4,0.43,3.0,9.5,0.317,8.0,10.8,0.742,5.1,13.7,18.9,9.4,6.8,4.0,1.8,2.9,9.2,9.5,45.0,-5.8,10,Golden State Warriors
