TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,CFID,CFPARAMS
1610612737,Atlanta Hawks,22,13,9,0.591,49.0,38.4,87.3,0.44,9.4,25.7,0.367,15.7,19.4,0.811,11.6,34.5,46.1,23.2,16.7,8.9,5.3,5.6,19.3,18.0,102.0,-1.8,10,Atlanta Hawks
1610612738,Boston Celtics,21,12,9,0.571,47.2,35.0,80.0,0.438,6.9,20.6,0.335,19.4,25.7,0.756,10.7,33.3,44.1,19.9,18.5,8.5,5.1,4.5,21.1,21.8,96.3,-5.9,10,Boston Celtics
1610612751,Brooklyn Nets,20,5,15,0.25,48.6,38.7,84.7,0.457,10.1,27.2,0.373,15.9,21.2,0.748,9.5,34.7,44.2,24.3,15.7,9.0,5.8,4.5,18.0,18.7,103.4,7.1,10,Brooklyn Nets
1610612766,Charlotte Hornets,20,12,8,0.6,48.9,38.4,87.0,0.442,8.6,25.5,0.336,14.7,19.4,0.758,9.1,37.0,46.2,23.9,14.8,6.8,4.5,6.0,21.3,17.7,100.1,-3.8,10,Charlotte Hornets
1610612741,Chicago Bulls,18,11,7,0.611,47.9,37.1,89.9,0.413,7.3,22.3,0.328,15.4,22.0,0.702,12.2,36.1,48.3,20.7,12.5,7.3,5.7,6.1,18.2,19.4,97.0,-0.2,10,Chicago Bulls
1610612739,Cleveland Cavaliers,20,13,7,0.65,49.8,37.7,83.7,0.45,7.6,21.3,0.355,17.9,24.2,0.736,9.0,33.1,42.1,21.4,13.6,7.7,4.9,4.0,22.0,21.7,100.8,-2.3,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,22,13,9,0.591,48.8,38.0,86.8,0.437,8.8,27.5,0.321,18.2,24.8,0.733,10.9,35.0,45.9,20.7,14.4,7.5,4.2,3.8,23.7,21.0,103.0,-0.8,10,Dallas Mavericks
1610612743,Denver Nuggets,21,8,13,0.381,48.6,38.5,83.5,0.461,10.0,25.7,0.387,17.8,24.4,0.728,10.4,34.7,45.1,24.3,15.6,8.8,6.8,4.9,21.6,20.9,104.8,6.2,10,Denver Nuggets
1610612765,Detroit Pistons,22,12,10,0.545,48.4,37.0,82.9,0.447,7.4,21.6,0.344,16.0,20.9,0.764,9.4,35.0,44.4,20.7,16.0,7.3,4.5,3.2,22.7,18.5,97.5,-2.4,10,Detroit Pistons
1610612744,Golden State Warriors,22,22,0,1.0,47.8,37.2,87.8,0.424,6.2,20.7,0.3,19.0,25.2,0.755,11.6,29.9,41.5,20.1,14.8,9.1,3.7,6.6,20.4,21.7,99.7,-14.8,10,Golden State Warriors
1610612745,Houston Rockets,21,10,11,0.476,47.7,39.8,85.2,0.467,8.5,24.3,0.351,17.4,23.2,0.751,11.8,33.9,45.6,23.8,15.7,9.4,5.9,5.6,22.6,21.7,105.5,4.8,10,Houston Rockets
1610612754,Indiana Pacers,19,12,7,0.632,47.9,36.6,83.3,0.44,8.2,23.5,0.347,17.4,23.8,0.731,11.6,34.0,45.6,20.1,17.6,8.0,4.1,4.4,22.3,20.0,98.8,-4.7,10,Indiana Pacers
1610612746,Los Angeles Clippers,21,12,9,0.571,48.1,36.9,85.1,0.434,7.6,22.6,0.336,20.6,26.8,0.769,11.9,35.3,47.1,20.1,15.4,7.8,2.8,5.9,25.3,22.5,102.0,-2.3,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,21,3,18,0.143,47.8,39.0,85.8,0.455,9.0,26.0,0.347,19.2,25.1,0.765,11.5,35.7,47.1,23.4,13.0,7.3,4.8,4.8,18.4,20.8,106.2,10.0,10,Los Angeles Lakers
