TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
1610612737,Atlanta Hawks,22,13,9,0.591,49.0,38.5,84.7,0.454,9.6,27.3,0.353,17.1,21.3,0.803,9.3,33.3,42.7,25.8,15.3,9.5,5.7,5.4,18.1,19.4,103.7,2.1,10,Atlanta Hawks
1610612738,Boston Celtics,21,12,9,0.571,47.4,37.8,86.4,0.437,9.3,27.9,0.333,16.9,21.6,0.783,11.7,31.3,43.0,24.3,15.8,11.0,4.6,5.1,21.5,20.5,101.8,5.3,10,Boston Celtics
1610612751,Brooklyn Nets,20,5,15,0.25,48.7,38.6,87.4,0.441,4.7,15.8,0.296,14.5,19.3,0.752,11.0,34.5,45.5,20.6,15.1,8.4,4.5,5.9,18.6,17.9,96.3,-7.4,10,Brooklyn Nets
1610612766,Charlotte Hornets,20,12,8,0.6,49.0,37.9,85.9,0.441,9.6,27.7,0.349,18.4,24.1,0.764,9.1,35.8,44.9,21.8,12.6,7.4,6.0,4.5,17.8,21.4,103.9,3.7,10,Charlotte Hornets
1610612741,Chicago Bulls,18,11,7,0.611,47.9,36.6,86.5,0.423,8.1,21.8,0.373,16.2,21.5,0.751,10.1,37.5,47.7,22.5,14.2,6.5,6.0,5.7,19.5,17.9,97.5,0.5,10,Chicago Bulls
1610612739,Cleveland Cavaliers,20,13,7,0.65,49.9,38.3,85.3,0.449,10.2,28.9,0.352,17.1,23.8,0.718,10.9,36.0,46.9,23.4,15.2,6.2,4.0,5.0,21.3,22.6,103.9,4.0,10,Cleveland Cavaliers
1610612742,Dallas Mavericks,22,13,9,0.591,48.8,37.3,83.8,0.445,8.8,26.9,0.326,19.1,24.4,0.782,8.5,36.1,44.6,22.1,13.9,7.2,3.8,4.3,20.5,23.5,102.5,1.0,10,Dallas Mavericks
1610612743,Denver Nuggets,21,8,13,0.381,48.7,36.5,85.4,0.428,7.9,23.5,0.335,17.7,23.4,0.755,11.5,33.3,44.7,22.4,15.7,7.3,5.0,6.9,20.6,21.4,98.6,-5.9,10,Denver Nuggets
1610612765,Detroit Pistons,22,12,10,0.545,48.6,36.9,88.4,0.418,8.3,26.1,0.318,16.5,25.2,0.653,13.7,34.0,47.7,18.1,14.3,8.4,3.1,4.7,18.7,22.5,98.6,0.5,10,Detroit Pistons
1610612744,Golden State Warriors,22,22,0,1.0,47.8,41.8,84.8,0.493,13.4,30.6,0.437,17.1,22.8,0.748,10.7,35.1,45.8,28.7,15.8,8.2,6.5,3.7,21.4,20.4,114.1,14.7,10,Golden State Warriors
1610612745,Houston Rockets,21,10,11,0.476,47.9,35.0,82.4,0.425,9.8,30.3,0.324,21.4,29.3,0.73,11.7,31.5,43.1,20.1,16.3,9.7,5.7,5.9,21.5,22.5,101.2,-4.3,10,Houston Rockets
1610612754,Indiana Pacers,19,12,7,0.632,48.2,37.1,84.1,0.441,9.6,23.8,0.401,19.2,25.7,0.748,10.8,33.0,43.8,20.6,15.3,9.1,4.3,4.2,20.0,22.3,103.0,5.1,10,Indiana Pacers
1610612746,Los Angeles Clippers,21,12,9,0.571,48.4,37.8,82.4,0.458,7.6,23.5,0.326,20.9,30.8,0.678,9.8,33.1,42.9,22.3,13.8,7.0,5.7,2.8,22.6,25.5,104.1,1.2,10,Los Angeles Clippers
1610612747,Los Angeles Lakers,21,3,18,0.143,48.1,34.6,85.0,0.408,8.1,25.3,0.32,19.1,24.3,0.788,10.3,33.4,43.7,17.9,14.6,7.3,4.9,4.9,20.7,18.3,96.5,-9.2,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,21,12,9,0.571,49.4,35.9,84.8,0.423,5.5,18.0,0.308,22.0,26.3,0.836,10.4,32.0,42.4,21.4,14.1,9.0,4.1,6.6,22.8,23.2,99.2,-3.3,10,Memphis Grizzlies
1610612748,Miami Heat,19,12,7,0.632,50.7,38.3,82.8,0.463,6.3,20.1,0.315,19.3,26.8,0.72,9.5,36.4,45.9,21.1,15.0,7.1,8.0,4.4,19.7,22.7,102.2,3.7,10,Miami Heat
1610612749,Milwaukee Bucks,22,9,13,0.409,50.6,37.3,83.9,0.445,6.9,19.3,0.359,18.1,23.0,0.786,10.2,31.7,41.9,24.0,16.1,7.9,5.4,5.5,24.0,20.2,99.7,-6.4,10,Milwaukee Bucks
1610612750,Minnesota Timberwolves,20,8,12,0.4,48.5,36.5,82.2,0.444,5.4,16.4,0.328,22.6,28.1,0.804,9.8,35.0,44.8,20.3,15.2,7.0,4.8,5.7,22.8,22.3,101.0,-0.8,10,Minnesota Timberwolves
1610612740,New Orleans Pelicans,21,5,16,0.238,47.9,37.5,85.2,0.44,8.5,25.0,0.34,17.6,22.4,0.786,9.0,32.9,42.0,21.7,14.0,7.1,4.8,5.2,22.0,20.8,101.1,-7.2,10,New Orleans Pelicans
1610612752,New York Knicks,22,10,12,0.455,49.2,36.7,86.5,0.424,7.6,22.8,0.333,18.2,22.3,0.815,11.0,34.2,45.2,20.3,14.6,6.4,5.7,4.8,22.7,19.1,99.1,-1.3,10,New York Knicks
1610612760,Oklahoma City Thunder,20,12,8,0.6,47.9,39.6,85.2,0.465,7.8,22.1,0.353,19.3,24.5,0.787,12.8,34.9,47.6,20.9,16.8,7.6,6.9,4.9,21.4,19.8,106.3,5.3,10,Oklahoma City Thunder
1610612753,Orlando Magic,20,11,9,0.55,48.7,38.7,88.8,0.436,8.1,23.2,0.35,15.5,19.9,0.776,12.1,34.2,46.3,22.2,14.5,8.0,5.9,6.7,22.0,18.3,101.0,2.1,10,Orlando Magic
1610612755,Philadelphia 76ers,22,1,21,0.045,48.3,33.7,81.1,0.415,8.8,26.9,0.327,15.1,21.9,0.692,9.2,32.9,42.1,18.9,18.5,8.3,6.8,6.8,22.0,19.2,91.3,-12.4,10,Philadelphia 76ers
1610612756,Phoenix Suns,22,9,13,0.409,46.6,38.1,84.7,0.45,9.9,25.4,0.39,15.9,21.3,0.748,10.4,32.4,42.8,19.7,16.4,8.7,3.9,4.4,20.5,20.7,102.0,0.3,10,Phoenix Suns
1610612757,Portland Trail Blazers,22,9,13,0.409,49.0,38.0,85.6,0.445,9.7,27.3,0.355,16.9,23.0,0.735,11.4,34.9,46.3,20.9,15.7,6.6,4.6,5.2,22.8,18.9,102.7,-0.2,10,Portland Trail Blazers
1610612758,Sacramento Kings,22,7,15,0.318,46.7,38.0,84.7,0.449,8.2,22.2,0.369,17.3,23.9,0.724,11.1,32.0,43.1,23.3,15.9,8.1,3.9,5.4,20.8,20.6,101.5,-3.9,10,Sacramento Kings
1610612759,San Antonio Spurs,22,18,4,0.818,50.0,41.3,86.7,0.476,7.2,19.6,0.366,14.7,19.0,0.774,9.7,38.8,48.6,26.2,14.6,8.4,6.4,3.7,17.7,19.8,104.4,12.4,10,San Antonio Spurs
1610612761,Toronto Raptors,22,13,9,0.591,49.6,36.9,84.3,0.437,8.2,23.1,0.356,22.1,27.7,0.797,11.0,34.7,45.7,18.7,14.5,9.1,4.1,5.6,20.4,23.7,104.1,3.9,10,Toronto Raptors
1610612762,Utah Jazz,18,9,9,0.5,50.3,37.5,85.1,0.44,7.7,21.3,0.362,18.8,25.3,0.744,12.2,32.7,44.8,18.8,15.9,9.3,5.8,6.0,23.5,22.0,101.5,1.5,10,Utah Jazz
1610612764,Washington Wizards,19,9,10,0.474,47.4,36.4,82.3,0.443,8.4,24.1,0.348,18.4,24.4,0.753,9.2,31.3,40.5,21.7,16.2,8.9,3.5,3.8,20.1,20.7,99.6,-3.8,10,Washington Wizards
